Date,Open,High,Low,Close,Adj Close,Volume
1997-05-12,2.437500,2.500000,1.708333,1.729167,1.729167,86856000
1997-05-19,1.760417,1.770833,1.312500,1.500000,1.500000,58141200
1997-05-26,1.510417,1.645833,1.458333,1.500000,1.500000,19339200
1997-06-02,1.510417,1.708333,1.375000,1.656250,1.656250,18334800
1997-06-09,1.656250,1.708333,1.531250,1.583333,1.583333,11324400
1997-06-16,1.604167,1.604167,1.494792,1.526042,1.526042,12475200
1997-06-23,1.541667,1.541667,1.479167,1.489583,1.489583,8282400
1997-06-30,1.510417,1.916667,1.479167,1.911458,1.911458,20498400
1997-07-07,1.833333,2.572917,1.833333,2.291667,2.291667,51415200
1997-07-14,2.322917,2.494792,2.114583,2.156250,2.156250,20852400
1997-07-21,2.177083,2.333333,2.062500,2.229167,2.229167,7234800
1997-07-28,2.229167,2.505208,2.218750,2.416667,2.416667,14948400
1997-08-04,2.375000,2.411458,2.104167,2.291667,2.291667,11192400
1997-08-11,2.291667,2.333333,1.937500,2.114583,2.114583,5040000
1997-08-18,2.052083,2.208333,1.968750,2.125000,2.125000,5124000
1997-08-25,2.104167,2.395833,2.104167,2.338542,2.338542,6962400
1997-09-01,2.343750,2.666667,2.312500,2.500000,2.500000,7952400
1997-09-08,2.531250,3.697917,2.500000,3.687500,3.687500,26082000
1997-09-15,3.666667,4.083333,3.052083,3.947917,3.947917,25681200
1997-09-22,4.000000,4.812500,3.947917,4.166667,4.166667,40520400
1997-09-29,4.145833,4.500000,3.802083,4.015625,4.015625,15666000
1997-10-06,4.000000,4.187500,3.666667,3.901042,3.901042,14314800
1997-10-13,3.927083,4.104167,3.520833,3.625000,3.625000,10732800
1997-10-20,3.677083,5.062500,3.666667,5.026042,5.026042,37365600
1997-10-27,4.802083,5.500000,3.875000,5.083333,5.083333,34734000
1997-11-03,5.218750,5.218750,4.385417,4.479167,4.479167,12998400
1997-11-10,4.500000,4.562500,3.666667,4.166667,4.166667,25920000
1997-11-17,4.229167,4.604167,4.218750,4.489583,4.489583,20320800
1997-11-24,4.375000,4.416667,4.041667,4.125000,4.125000,8558400
1997-12-01,4.239583,4.593750,4.135417,4.593750,4.593750,10635600
1997-12-08,4.541667,4.833333,4.395833,4.541667,4.541667,15230400
1997-12-15,4.583333,4.666667,4.166667,4.500000,4.500000,17479200
1997-12-22,4.500000,4.781250,4.432292,4.520833,4.520833,8353200
1997-12-29,4.583333,5.041667,4.531250,4.958333,4.958333,14944800
1998-01-05,4.885417,4.937500,4.229167,4.260417,4.260417,23149200
1998-01-12,4.166667,5.010417,4.145833,4.791667,4.791667,31806000
1998-01-19,4.822917,5.343750,4.812500,4.937500,4.937500,32796000
1998-01-26,4.979167,5.062500,4.625000,4.916667,4.916667,22668000
1998-02-02,4.947917,5.250000,4.875000,4.906250,4.906250,20532000
1998-02-09,4.916667,5.463542,4.770833,5.187500,5.187500,32853600
1998-02-16,5.218750,5.291667,5.052083,5.270833,5.270833,12487200
1998-02-23,5.291667,6.635417,5.208333,6.416667,6.416667,64748400
1998-03-02,6.322917,6.515625,5.833333,6.395833,6.395833,44175600
1998-03-09,6.406250,7.354167,6.395833,6.557292,6.557292,76477200
1998-03-16,6.630208,7.291667,6.489583,7.000000,7.000000,38600400
1998-03-23,6.963542,7.260417,6.625000,7.083333,7.083333,35499600
1998-03-30,7.156250,8.062500,6.979167,7.750000,7.750000,54854400
1998-04-06,7.854167,8.000000,7.062500,7.937500,7.937500,50007600
1998-04-13,7.906250,8.333333,7.666667,7.906250,7.906250,61776000
1998-04-20,7.947917,8.291667,6.708333,7.072917,7.072917,57674400
1998-04-27,6.947917,8.291667,6.427083,7.875000,7.875000,151929600
1998-05-04,7.916667,7.989583,7.354167,7.697917,7.697917,39853200
1998-05-11,7.744792,7.885417,7.208333,7.468750,7.468750,50181600
1998-05-18,7.500000,7.625000,7.125000,7.166667,7.166667,23355600
1998-05-25,7.171875,7.416667,6.645833,7.343750,7.343750,52172400
1998-06-01,7.333333,7.541667,6.875000,7.375000,7.375000,31249200
1998-06-08,7.302083,10.583333,7.250000,10.166667,10.166667,106691400
1998-06-15,9.916667,13.750000,9.854167,12.635417,12.635417,181452600
1998-06-22,12.458333,17.458334,12.041667,15.708333,15.708333,218100600
1998-06-29,15.791667,20.916666,15.791667,20.666666,20.666666,126919200
1998-07-06,21.229166,23.958334,16.354166,16.583334,16.583334,206922000
1998-07-13,16.083334,20.083334,15.708333,19.968750,19.968750,94041600
1998-07-20,20.187500,24.500000,19.500000,20.708334,20.708334,168012000
1998-07-27,19.854166,21.229166,17.583334,18.479166,18.479166,114436800
1998-08-03,18.291666,19.812500,16.666666,19.333334,19.333334,106075200
1998-08-10,19.500000,22.500000,19.166666,20.458334,20.458334,110854800
1998-08-17,20.125000,22.291666,19.750000,21.614584,21.614584,82922400
1998-08-24,21.708334,22.916666,17.208334,17.648434,17.648434,99754800
1998-08-31,17.572916,17.937500,10.833333,14.375000,14.375000,199063200
1998-09-07,15.666667,15.791667,12.250000,12.677083,12.677083,95415000
1998-09-14,13.395833,14.322917,11.729167,13.281250,13.281250,130607400
1998-09-21,12.666667,19.479166,12.666667,18.208334,18.208334,187379400
1998-09-28,19.395834,20.000000,16.666666,18.375000,18.375000,175258800
1998-10-05,18.145834,18.708334,13.333333,15.197917,15.197917,146613600
1998-10-12,16.187500,16.989584,14.958333,16.572916,16.572916,86469000
1998-10-19,16.500000,19.718750,16.500000,19.354166,19.354166,88786800
1998-10-26,19.854166,21.635416,19.041666,21.072916,21.072916,113687400
1998-11-02,21.354166,22.177084,20.666666,20.760416,20.760416,103891800
1998-11-09,20.312500,23.333334,20.125000,21.291666,21.291666,93598200
1998-11-16,21.416666,30.291666,20.583334,30.104166,30.104166,237981000
1998-11-23,31.812500,38.854168,31.010416,36.104168,36.104168,186566400
1998-11-30,36.604168,36.708332,30.333334,31.416666,31.416666,150649800
1998-12-07,32.166668,37.385418,30.854166,37.166668,37.166668,143659800
1998-12-14,36.854168,50.291668,36.333332,47.781250,47.781250,269150400
1998-12-21,50.583332,55.000000,50.000000,54.135418,54.135418,85122000
1998-12-28,55.166668,60.312500,50.645832,53.541668,53.541668,105388200
1999-01-04,54.614582,99.562500,53.250000,80.125000,80.125000,252278800
1999-01-11,92.000000,92.500000,62.500000,70.187500,70.187500,134287600
1999-01-18,75.250000,75.250000,46.281250,61.500000,61.500000,132754600
1999-01-25,60.750000,69.875000,55.000000,58.468750,58.468750,127027800
1999-02-01,58.875000,63.375000,54.250000,57.937500,57.937500,64836200
1999-02-08,57.187500,57.562500,47.500000,52.250000,52.250000,60187600
